hex,name,romaji
#FFC408,籐黄,tohoh
#EFBB24,郁金,ukon
#CAAD5F,芥子,karashi
#8D742A,肥后煤竹,higosusutake
#B4A582,利休白茶,rikyushiracha
#877F6C,灰汁,aku
#897D55,利休茶,rikyucha
#74673E,路考茶,rokohcha
#A28C37,菜种油,nataneyu
#6C6024,莺茶,uguisucha
#867835,黄海松茶,kimirucha
#62592C,海松茶,mirucha
#E9CD4C,刈安,kariyasu
#F7D94C,菜の花,nanohana
#FBE251,黄蘗,kihada
#D9CD90,蒸栗,mushikuri
#ADA142,青朽叶,aokuchiba
#DDD23B,女郎花,ominaeshi
#A5A051,鶸茶,hiwacha
#BEC23F,鶸,hiwa
#6C6A2D,莺,uguisu
#939650,柳茶,yanagicha
#838A2D,苔,koke
#B1B479,麹尘,kikujin
#616138,璃寛茶,rikancha
#4B4E2A,蓝媚茶,aikobicha
#5B622E,海松,miru
#4D5139,千歳茶,sensaicha
#89916B,梅幸茶,baikocha
#90B44B,鶸萌黄,hiwamoegi
#91AD70,柳染,yanagizome
#B5CAA0,里柳,urayanagi
#646A58,岩井茶,iwaicha
#7BA23F,萌黄,moegi
#86C166,苗,nae
#4A593D,柳煤竹,yanagisusutake
#42602D,松叶,matsuba
#516E41,青丹,aoni
#91B493,薄青,usuao
#808F7C,柳鼠,yanaginezumi
#1B813E,常磐,tokiwa
#5DAC81,若竹,wakatake
#36563C,千岁绿,chitosemidori
#227D51,绿,midori
#A8D8B9,白绿,byakuroku
#6A8372,老竹,oitake
#2D6D4B,木贼,tokusa
#465D4C,御纳戸茶,onandocha
#24936E,绿青,rokusyoh
#86A697,锖青磁,sabiseiji
#00896C,青竹,aotake
#096148,丝绒,veludo
#20604F,虫袄,mushiao
#0F4C3A,蓝海松茶,aimirucha
#4F726C,沈香茶,tonocha2
#00AA90,青绿,aomidori
#69B0AC,青磁,seiji
#26453D,鉄,tetsu
#66BAB7,水浅葱,mizuasagi
#268785,青碧,seiheki
#405B55,锖鉄御纳戸,sabitetsuonando
#305A56,高丽纳戸,korainando
#78C2C4,白群,byakugun
#376B6D,御召茶,omeshicha
#A5DEE4,瓶覗,kamenozoki
#77969A,深川鼠,fukagawanezumi
#6699A1,锖浅葱,sabiasagi
#81C7D4,水,mizu
#33A6B8,浅葱,asagi
#0C4842,御纳戸,onando
#0D5661,蓝,ai
#0089A7,新桥,shinbashi
#336774,锖御纳戸,sabionando
#255359,鉄御纳戸,tetsuonando
#1E88A8,花浅葱,hanaasagi
#566C73,蓝鼠,ainezumi
#577C8A,舛花,masuhana
#58B2DC,空,sora
#2B5F75,熨斗目花,noshimehana
#3A8FB7,千草,chigusa
#2E5C6E,御召御纳戸,omeshionando
#006284,缥,hanada
#7DB9DE,勿忘草,wasurenagusa
#51A8DD,群青,gunjyo
#2EA9DF,露草,tsuyukusa
#0B1013,黒橡,kurotsurubami
#0F2540,绀,kon
#08192D,褐,kachi
#005CAF,瑠璃,ruri
#0B346E,瑠璃绀,rurikon
#7B90D2,红碧,benimidori
#6E75A4,藤鼠,fujinezumi
#261E47,鉄绀,tetsukon
#113285,绀青,konjyo
#4E4F97,红挂花,benikakehana
#211E55,绀桔梗,konkikyo
#8B81C3,藤,fuji
#70649A,二蓝,futaai
#9B90C2,楝,ouchi
#8A6BBE,藤紫,fujimurasaki
#6A4C9C,桔梗,kikyo
#8F77B5,紫苑,shion
#533D5B,灭紫,messhi
#B28FCE,薄,usu
#986DB2,半,hashita
#77428D,江戸紫,edomurasaki
#3C2F41,紫绀,shikon
#4A225D,深紫,kokimurasaki
#66327C,菫,sumire
#592C63,紫,murasaki
#6F3381,菖蒲,ayame
#574C57,藤煤竹,fujisusutake
#B481BB,红藤,benifuji
#3F2B36,黒红,kurobeni
#572A3F,茄子绀,nasukon
#5E3D50,葡萄鼠,budohnezumi
#72636E,鸠羽鼠,hatobanezumi
#622954,杜若,kakitsubata
#6D2E5B,蒲葡,ebizome
#C1328E,牡丹,botan
#A8497A,梅紫,umemurasaki
#562E37,似紫,nisemurasaki
#E03C8A,踯躅,tsutsuji
#60373E,紫鸢,murasakitobi
#FCFAF2,白练,shironeri
#FFFFFB,胡粉,gofun
#BDC0BA,白鼠,shironezumi
#91989F,银鼠,ginnezumi
#787878,铅,namari
#828282,灰,hai
#787D7B,素鼠,sunezumi
#707C74,利休鼠,rikyunezumi
#656765,钝,nibi
#535953,青钝,aonibi
#4F4F48,沟鼠,dobunezumi
#52433D,红消鼠,benikeshinezumi
#373C38,蓝墨茶,aisumicha
#3A3226,槟榔子染,binrojizome
#434343,消炭,keshizumi
#1C1C1C,墨,sumi
#080808,黒,kuro
#0C0C0C,吕,ro
